id,actor_name,character,film_name,year
136786,Jason Segel,Vector,Despicable Me,2010
137294,Will Ferrell,Jackie Moon,Semi-Pro,2008
137295,David Koechner,Commissioner,Semi-Pro,2008
138620,Seth Rogen,Mantis,Kung Fu Panda: Secrets of the Masters,2011
139595,Vince Vaughn,Bob,The Watch,2012
139597,Jonah Hill,Franklin,The Watch,2012
139599,Ben Stiller,Evan,The Watch,2012
140058,David Koechner,Dag the Coyote,Barnyard,2006
140886,Ben Stiller,,Used Guys,2007
141271,Paul Rudd,Tim,Dinner for Schmucks,2010
141277,Steve Carell,Barry,Dinner for Schmucks,2010
141284,Chris O'Dowd,Marco,Dinner for Schmucks,2010
141294,Will Ferrell,Detective Allen Gamble,The Other Guys,2010
141480,Paul Rudd,Michael Scanlon,Casino Jack: The United States of Money,2010
142624,Ben Stiller,Reuben Feffer,Along Came Polly,2004
142661,Ben Stiller,David Starsky,Starsky &amp; Hutch,2004
142662,Owen Wilson,"Ken ""Hutch"""" Hutchinson""",Starsky &amp; Hutch,2004
142663,Vince Vaughn,Reese Feldman,Starsky &amp; Hutch,2004
142752,Owen Wilson,Kevin Rawley,Little Fockers,2010
142753,Ben Stiller,Gaylord Focker,Little Fockers,2010
143392,Brad Pitt,Billy Beane,Moneyball,2011
143394,Jonah Hill,Peter Brand,Moneyball,2011
143463,Seth Rogen,Zack,Zack and Miri Make a Porno,2008
143481,Megan Fox,Lost,Whore,2008
143500,Matthew McConaughey,Connor Mead,The Ghosts of Girlfriends Past,2009
143540,Christoph Waltz,Qohen Leth,The Zero Theorem,2013
143696,Shia LaBeouf,Jake Moore,Wall Street: Money Never Sleeps,2010
144225,Brad Pitt,Gerry Lane,World War Z,2013
144315,Christoph Waltz,Mandrake,Epic,2013
144587,Ben Stiller,Josh Kovacs,Tower Heist,2011
144696,Vince Vaughn,David Wozniak,Delivery Man,2013
145005,Owen Wilson,Reggie,Free Birds,2013
145056,Owen Wilson,Jedediah,Night at the Museum: Battle of the Smithsonian,2009
145060,Ben Stiller,Larry Daley,Night at the Museum: Battle of the Smithsonian,2009
145073,Jonah Hill,Brandon,Night at the Museum: Battle of the Smithsonian,2009
145074,Jonah Hill,Brundon the Security Guard,Night at the Museum: Battle of the Smithsonian,2009
145078,Matthew McConaughey,,Night at the Museum: Battle of the Smithsonian,2009
145238,David Koechner,Dennis Lapman,Final Destination 5,2011
146011,David Koechner,Sheriff of Aspen,Reno 911!: Miami,2007
146014,Paul Rudd,Ethan the Drug Lord,Reno 911!: Miami,2007
146092,Jonah Hill,Leo Koenig,Funny People,2009
146093,Seth Rogen,Ira Wright,Funny People,2009
146094,Leslie Mann,Laura,Funny People,2009
146225,Seth Rogen,B.O.B.,Monsters vs Aliens: Mutant Pumpkins from Outer Space,2009
147249,David Koechner,Jay Hadley,Tenure,2010
148715,Ben Stiller,Alex,Merry Madagascar,2009
148997,Jet Li,Rogue,War,2007
149223,Ben Stiller,Soap Opera Star,Submarine,2010
149472,Ben Stiller,Alex,Madagascar: Escape 2 Africa,2008
150897,Will Ferrell,Ted Shackelford,Curious George,2006
150933,Steve Carell,Hammy,Over the Hedge,2006
150981,Leslie Mann,,Charlotte's Web,2006
152405,Owen Wilson,,Chick Magnet,2011
153246,Megan Fox,,The Dictator,2012
153655,Chris O'Dowd,Rhodes,Bridesmaids,2011
154412,David Koechner,,Daltry Calhoun,2005
154521,Jonah Hill,Snotlout,How to Train Your Dragon,2010
154567,Leonardo DiCaprio,Jordan Belfort,The Wolf of Wall Street,2013
154571,Jonah Hill,Donnie Azoff,The Wolf of Wall Street,2013
154573,Matthew McConaughey,Mark Hanna,The Wolf of Wall Street,2013
155218,Shia LaBeouf,Dito,A Guide to Recognizing Your Saints,2006
155248,Jonah Hill,Aaron Green,Get Him to the Greek,2010
155272,Owen Wilson,Marmaduke,Marmaduke,2010
155796,Jet Li,Yin Yang,The Expendables 2,2012
155935,David Koechner,Asmodeus,Hell &amp; Back,2013
155953,Vince Vaughn,Wayne Westerberg,Into the Wild,2007
