time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-11-19T05:06:31.050Z,-2.7083,68.0738,10,5.1,mb,,40,6.391,0.99,us,usc000sys4,2014-11-19T13:09:08.754Z,"Carlsberg Ridge",earthquake
2014-11-19T04:40:30.620Z,35.3345,-118.6778333,3.79,1.18,ml,11,140,0.1036,0.12,ci,ci37062335,2014-11-19T04:44:30.240Z,"19km NE of Arvin, California",earthquake
2014-11-19T04:15:39.540Z,37.6290016,-119.0230026,5.18,1.3,md,6,126,0.007076,0.03,nc,nc72349651,2014-11-19T05:30:02.609Z,"4km WSW of Mammoth Lakes, California",earthquake
2014-11-19T04:06:51.030Z,36.5882,-98.2599,11.9,3.1,mb_lg,,123,0.237,0.27,us,usc000syrn,2014-11-19T14:06:08.372Z,"4km N of Helena, Oklahoma",earthquake
2014-11-19T03:55:14.000Z,63.5648,-150.6071,13.3,0.9,ml,,,,0.25,ak,ak11445372,2014-11-19T05:18:10.582Z,"84km WNW of Cantwell, Alaska",earthquake
2014-11-19T03:53:48.600Z,38.1580009,-122.2935028,7.25,1.47,md,9,141,0.03917,0.08,nc,nc72349641,2014-11-19T06:46:04.336Z,"3km WSW of American Canyon, California",earthquake
2014-11-19T03:40:07.310Z,35.3371667,-118.6701667,1.26,2.06,ml,35,55,0.1069,0.25,ci,ci37062327,2014-11-19T04:52:54.356Z,"20km NE of Arvin, California",earthquake
2014-11-19T03:36:31.000Z,62.0159,-150.6949,55.1,2.2,ml,,,,0.3,ak,ak11445365,2014-11-19T05:18:09.888Z,"45km NW of Willow, Alaska",earthquake
2014-11-19T03:35:59.412Z,41.912,-119.6463,0,1.65,ml,5,214.33,0.489,0.12,nn,nn00468530,2014-11-19T14:14:20.227Z,"65km ESE of Lakeview, Oregon",earthquake
2014-11-19T03:34:24.930Z,35.9357,-97.4465,5,3.1,mb_lg,,84,0.139,0.64,us,usc000syr7,2014-11-19T11:50:33.016Z,"6km NNW of Guthrie, Oklahoma",earthquake
2014-11-19T03:18:45.000Z,43.7232,-121.3118,1.9,-0.9,Md,,100.8,0.00898315,0.05,uw,uw60920072,2014-11-19T03:31:23.438Z,"16km SE of Three Rivers, Oregon",earthquake
2014-11-19T03:07:54.230Z,33.725,-118.3518333,7.47,1.68,ml,8,103,0.0473,0.37,ci,ci37062319,2014-11-19T03:12:59.860Z,"3km ESE of Rancho Palos Verdes, California",earthquake
2014-11-19T03:06:31.800Z,18.2434,-67.0055,26,2.4,Md,7,104.4,0.10150963,0.23,pr,pr14323000,2014-11-19T03:59:27.435Z,"1km SW of Las Marias, Puerto Rico",earthquake
2014-11-19T03:05:47.450Z,42.8385,105.3646,15.22,4.7,mb,,51,5.165,0.57,us,usc000syqr,2014-11-19T11:08:16.620Z,"18km E of Sangiyn Dalay, Mongolia",earthquake
2014-11-19T03:04:23.010Z,-6.574,131.406,75.52,4.9,mb,,88,1.403,1.04,us,usc000syqp,2014-11-19T11:07:01.068Z,"152km N of Saumlaki, Indonesia",earthquake
2014-11-19T03:04:14.810Z,35.3373333,-118.6651667,2.02,1.66,ml,23,84,0.1078,0.18,ci,ci37062311,2014-11-19T03:08:39.600Z,"20km NE of Arvin, California",earthquake
2014-11-19T03:01:16.660Z,36.5483322,-121.12883,8.3,1.11,md,8,143,0.05599,0.01,nc,nc72349621,2014-11-19T05:18:05.244Z,"22km NE of Soledad, California",earthquake
